TIME,GEO,ANIMALS,UNIT,Value,Flag and Footnotes,,,,
2012,Belgium,Other pigs,Head (animal),:,,,,,
2012,Belgium,"Fattening pigs, live weight 50 kg or over",Number,:,,,,,
2012,Belgium,"Fattening pigs, live weight 50 kg or over",Head (animal),"9,661",,,,,
2012,Belgium,Live sheep,Number,:,,,,,
2012,Belgium,Live sheep,Head (animal),"12,841",,,,,
2012,Belgium,"Ewes and ewe-lambs, breeding females",Number,:,,,,,
2012,Belgium,"Ewes and ewe-lambs, breeding females",Head (animal),:,,,,,
2012,Belgium,Ewes and ewe-lambs put to the ram,Number,:,,,,,
2012,Belgium,Ewes and ewe-lambs put to the ram,Head (animal),:,,,,,
2012,Belgium,Other sheep,Number,:,,,,,
2012,Belgium,Other sheep,Head (animal),:,,,,,
2012,Belgium,Live goats,Number,:,,,,,
2012,Belgium,Live goats,Head (animal),"5,177",,,,,
2012,Belgium,"Goats, breeding females",Number,:,,,,,
2012,Belgium,"Goats, breeding females",Head (animal),:,,,,,
2012,Belgium,Other goats,Number,:,,,,,
2012,Belgium,Other goats,Head (animal),:,,,,,
2012,Belgium,Live poultry,Number,:,,,,,
2012,Belgium,Live poultry,Head (animal),"1,832,732",,,,,
2012,Belgium,Live poultry excluding laying hens and broilers,Number,:,,,,,
2012,Belgium,Live poultry excluding laying hens and broilers,Head (animal),:,,,,,
2012,Belgium,Laying hens,Number,:,,,,,
2012,Belgium,Laying hens,Head (animal),"320,194",,,,,
2012,Belgium,Laying hens (producing eggs for consumption),Number,:,,,,,
2012,Belgium,Laying hens (producing eggs for consumption),Head (animal),:,,,,,
2012,Belgium,Broilers,Number,:,,,,,
2012,Belgium,Broilers,Head (animal),"1,512,538",,,,,
2012,Belgium,Rabbits,Number,:,,,,,
2012,Belgium,Rabbits,Head (animal),:,,,,,
2012,Belgium,Bees (hives),Number,:,,,,,
2012,Belgium,Bees (hives),Head (animal),:,,,,,
2012,Belgium,Other live animals,Number,:,,,,,
2012,Belgium,Other live animals,Head (animal),:,,,,,
2012,Bulgaria,Live horses,Number,:,,,,,
2012,Bulgaria,Live horses,Head (animal),9,,,,,
2012,Bulgaria,Live bovine animals,Number,:,,,,,
2012,Bulgaria,Live bovine animals,Head (animal),"1,173",,,,,
2012,Bulgaria,Bovine animals for slaughter,Number,:,,,,,
2012,Bulgaria,Bovine animals for slaughter,Head (animal),389,,,,,
2012,Bulgaria,Dairy cows,Number,:,,,,,
2012,Bulgaria,Dairy cows,Head (animal),328,,,,,
2012,Bulgaria,Other bovine animals,Number,:,,,,,
2012,Bulgaria,Other bovine animals,Head (animal),456,,,,,
2012,Bulgaria,"Live swine, domestic species",Number,:,,,,,
2012,Bulgaria,"Live swine, domestic species",Head (animal),0,,,,,
2012,Bulgaria,"Breeding sows, live weight 50 kg or over",Number,:,,,,,
2012,Bulgaria,"Breeding sows, live weight 50 kg or over",Head (animal),0,,,,,
2012,Bulgaria,Other pigs,Number,:,,,,,
2012,Bulgaria,Other pigs,Head (animal),0,,,,,
2012,Bulgaria,"Fattening pigs, live weight 50 kg or over",Number,:,,,,,
2012,Bulgaria,"Fattening pigs, live weight 50 kg or over",Head (animal),0,,,,,
2012,Bulgaria,Live sheep,Number,:,,,,,
2012,Bulgaria,Live sheep,Head (animal),"9,175",,,,,
2012,Bulgaria,"Ewes and ewe-lambs, breeding females",Number,:,,,,,
2012,Bulgaria,"Ewes and ewe-lambs, breeding females",Head (animal),"8,354",,,,,
2012,Bulgaria,Ewes and ewe-lambs put to the ram,Number,:,,,,,
2012,Bulgaria,Ewes and ewe-lambs put to the ram,Head (animal),:,,,,,
2012,Bulgaria,Other sheep,Number,:,,,,,
2012,Bulgaria,Other sheep,Head (animal),821,,,,,
2012,Bulgaria,Live goats,Number,:,,,,,
2012,Bulgaria,Live goats,Head (animal),"2,831",,,,,
2012,Bulgaria,"Goats, breeding females",Number,:,,,,,
2012,Bulgaria,"Goats, breeding females",Head (animal),"2,742",,,,,
2012,Bulgaria,Other goats,Number,:,,,,,
2012,Bulgaria,Other goats,Head (animal),89,,,,,
2012,Bulgaria,Live poultry,Number,:,,,,,
2012,Bulgaria,Live poultry,Head (animal),0,,,,,
2012,Bulgaria,Live poultry excluding laying hens and broilers,Number,:,,,,,
2012,Bulgaria,Live poultry excluding laying hens and broilers,Head (animal),0,,,,,
2012,Bulgaria,Laying hens,Number,:,,,,,
2012,Bulgaria,Laying hens,Head (animal),0,,,,,
2012,Bulgaria,Laying hens (producing eggs for consumption),Number,:,,,,,
2012,Bulgaria,Laying hens (producing eggs for consumption),Head (animal),:,,,,,
2012,Bulgaria,Broilers,Number,:,,,,,
2012,Bulgaria,Broilers,Head (animal),0,,,,,
2012,Bulgaria,Rabbits,Number,:,,,,,
2012,Bulgaria,Rabbits,Head (animal),0,,,,,
2012,Bulgaria,Bees (hives),Number,"85,346",,,,,
